Array size;Binary insertion sort Almost sorted array Operations;Binary insertion sort Almost sorted array Time;Binary insertion sort From 0 to 4000 array Operations;Binary insertion sort From 0 to 4000 array Time;Binary insertion sort From 0 to 5 array Operations;Binary insertion sort From 0 to 5 array Time;Binary insertion sort Reversed sorted array Operations;Binary insertion sort Reversed sorted array Time;Ciura sort Almost sorted array Operations;Ciura sort Almost sorted array Time;Ciura sort From 0 to 4000 array Operations;Ciura sort From 0 to 4000 array Time;Ciura sort From 0 to 5 array Operations;Ciura sort From 0 to 5 array Time;Ciura sort Reversed sorted array Operations;Ciura sort Reversed sorted array Time;First & second Iverson rule bubble sort Almost sorted array Operations;First & second Iverson rule bubble sort Almost sorted array Time;First & second Iverson rule bubble sort From 0 to 4000 array Operations;First & second Iverson rule bubble sort From 0 to 4000 array Time;First & second Iverson rule bubble sort From 0 to 5 array Operations;First & second Iverson rule bubble sort From 0 to 5 array Time;First & second Iverson rule bubble sort Reversed sorted array Operations;First & second Iverson rule bubble sort Reversed sorted array Time;First Iverson rule bubble sort Almost sorted array Operations;First Iverson rule bubble sort Almost sorted array Time;First Iverson rule bubble sort From 0 to 4000 array Operations;First Iverson rule bubble sort From 0 to 4000 array Time;First Iverson rule bubble sort From 0 to 5 array Operations;First Iverson rule bubble sort From 0 to 5 array Time;First Iverson rule bubble sort Reversed sorted array Operations;First Iverson rule bubble sort Reversed sorted array Time;Heap sort Almost sorted array Operations;Heap sort Almost sorted array Time;Heap sort From 0 to 4000 array Operations;Heap sort From 0 to 4000 array Time;Heap sort From 0 to 5 array Operations;Heap sort From 0 to 5 array Time;Heap sort Reversed sorted array Operations;Heap sort Reversed sorted array Time;Insertion sort Almost sorted array Operations;Insertion sort Almost sorted array Time;Insertion sort From 0 to 4000 array Operations;Insertion sort From 0 to 4000 array Time;Insertion sort From 0 to 5 array Operations;Insertion sort From 0 to 5 array Time;Insertion sort Reversed sorted array Operations;Insertion sort Reversed sorted array Time;Merge sort Almost sorted array Operations;Merge sort Almost sorted array Time;Merge sort From 0 to 4000 array Operations;Merge sort From 0 to 4000 array Time;Merge sort From 0 to 5 array Operations;Merge sort From 0 to 5 array Time;Merge sort Reversed sorted array Operations;Merge sort Reversed sorted array Time;Quick sort Almost sorted array Operations;Quick sort Almost sorted array Time;Quick sort From 0 to 4000 array Operations;Quick sort From 0 to 4000 array Time;Quick sort From 0 to 5 array Operations;Quick sort From 0 to 5 array Time;Quick sort Reversed sorted array Operations;Quick sort Reversed sorted array Time;Radix sort Almost sorted array Operations;Radix sort Almost sorted array Time;Radix sort From 0 to 4000 array Operations;Radix sort From 0 to 4000 array Time;Radix sort From 0 to 5 array Operations;Radix sort From 0 to 5 array Time;Radix sort Reversed sorted array Operations;Radix sort Reversed sorted array Time;Regular bubble sort Almost sorted array Operations;Regular bubble sort Almost sorted array Time;Regular bubble sort From 0 to 4000 array Operations;Regular bubble sort From 0 to 4000 array Time;Regular bubble sort From 0 to 5 array Operations;Regular bubble sort From 0 to 5 array Time;Regular bubble sort Reversed sorted array Operations;Regular bubble sort Reversed sorted array Time;Selection sort Almost sorted array Operations;Selection sort Almost sorted array Time;Selection sort From 0 to 4000 array Operations;Selection sort From 0 to 4000 array Time;Selection sort From 0 to 5 array Operations;Selection sort From 0 to 5 array Time;Selection sort Reversed sorted array Operations;Selection sort Reversed sorted array Time;Shell sort Almost sorted array Operations;Shell sort Almost sorted array Time;Shell sort From 0 to 4000 array Operations;Shell sort From 0 to 4000 array Time;Shell sort From 0 to 5 array Operations;Shell sort From 0 to 5 array Time;Shell sort Reversed sorted array Operations;Shell sort Reversed sorted array Time;Stable counting sort Almost sorted array Operations;Stable counting sort Almost sorted array Time;Stable counting sort From 0 to 4000 array Operations;Stable counting sort From 0 to 4000 array Time;Stable counting sort From 0 to 5 array Operations;Stable counting sort From 0 to 5 array Time;Stable counting sort Reversed sorted array Operations;Stable counting sort Reversed sorted array Time
100;16073;2186;47413;5463;39035;4387;76866;8371;13345;1336;19921;1955;15025;1495;16513;1592;5517;1116;91428;23198;88784;20828;124457;29875;6258;1126;103867;22394;102821;20321;134413;30417;33224;6661;31554;6497;28166;5719;28146;5708;3955;583;26985;5048;24425;4638;51455;9579;29434;3548;30655;3886;30468;3839;28466;3635;34743;6072;13964;2252;18392;3118;59111;10664;23187;3937;23187;3942;12297;2140;23187;3983;81871;8770;104901;22681;102341;20095;129371;28323;61904;9651;62326;10746;61936;10096;64494;10475;15902;1669;23006;2391;18302;1914;19598;1858;83709;8494;116525;11663;5477;942;120165;12006
200;39464;5422;157487;18887;148799;16250;288613;29875;33145;3348;46537;4899;34537;3435;37393;3584;21807;4234;370945;91786;358812;88586;499219;114406;24808;4136;420567;87106;409705;85324;539121;114278;74540;16532;72690;16788;62896;14126;64684;14883;10505;1546;98995;18744;95115;18022;203125;37299;66495;7823;68827;9446;68145;8688;63371;8089;89142;15109;32143;5483;55237;11673;228261;35988;35587;5934;35587;6778;19197;3184;35587;5928;326321;34616;414811;85749;410931;82324;518941;111431;243998;36567;244846;39357;243968;37350;255656;42081;39204;3998;53988;6118;42540;4413;46884;4495;89009;9205;122441;12492;10777;1638;125465;12789
300;70578;9564;319830;38789;317761;34104;631469;64317;55849;5872;80521;11013;55225;5760;60409;5698;495902;69365;822285;199111;797888;196300;1123641;257059;635307;70220;939581;191027;915547;180510;1213526;265256;119772;28124;116746;29537;100286;24739;105568;26378;22465;3609;209835;40335;202885;37934;454535;83072;106901;12692;109651;16778;108485;14428;100411;12994;156064;26152;52450;10188;127920;21990;507411;83087;47987;7987;47987;8089;26097;4413;47987;7997;736181;90260;923551;183086;916601;177771;1168251;287887;546250;79841;547586;85340;545942;80686;572748;95738;68845;7377;90757;12707;70477;7720;80557;7761;94309;9922;127741;14960;16077;2421;130765;13552
400;109122;14540;561242;66846;579407;59607;1106177;109716;84082;9272;116218;19409;77962;9113;85042;8232;889167;127467;1479703;358123;1445274;360125;1998327;451937;1259027;138982;1687646;343736;1646308;329855;2158159;462028;167604;40263;164362;43929;140460;35763;149854;36659;38195;6302;380635;70901;372945;70154;806165;193454;149272;17740;152539;24514;150944;20505;139504;17914;274936;46233;68791;15037;174726;29603;896561;141265;60387;9907;60387;9943;32997;5463;60387;9902;1309811;145126;1652251;330915;1644561;319984;2077781;452669;968226;140062;970260;147809;967954;140835;1015922;172124;96094;10449;143134;25973;97318;11202;109246;10270;126209;13322;133041;14008;21377;3123;136065;14387
500;148968;19624;856580;98498;852121;86512;1710695;165544;111310;13670;150838;28236;99454;10506;114718;10890;1214265;174213;2312435;567603;2205950;554685;3122869;708592;1782908;195701;2638421;524216;2532822;493450;3372660;706032;213842;52121;211030;56596;182350;47395;193744;48532;54505;9118;592655;110008;559045;103260;1257675;231505;190050;23470;195902;32542;193702;26880;179017;24273;311471;52864;95789;22256;279319;48711;1395711;213084;72787;12866;72787;11883;39897;6512;72787;11678;2044021;224609;2582171;522992;2548561;488872;3247191;692869;1510552;218024;1513068;227194;1509984;217733;1585576;278261;121867;15006;173251;34749;117331;14008;142027;13578;131509;14095;138341;14714;26677;3880;141365;15032
600;191925;27064;1224648;140748;1223517;122521;2447336;235929;136138;18083;188554;38379;123370;13798;143554;13424;1622009;235228;3342461;827100;3232310;802882;4497579;1016888;2308879;259445;3799120;750131;3687916;708049;4857315;1064355;261614;64455;262304;71884;224998;57630;239488;59868;72715;12247;859815;159636;812475;151434;1809325;336604;236033;27760;241808;41318;239267;33715;220006;28410;397227;67153;113844;29332;378767;64112;2004861;305720;85187;13593;85187;14433;46797;7511;85187;13583;2940131;322273;3727231;751626;3679891;693606;4676741;1018557;2172762;311971;2175736;322216;2171938;309806;2280978;418657;162803;21457;224531;44625;158387;19609;184523;17407;136809;14766;143641;15493;31977;4648;146665;15764
700;232364;30909;1667304;188477;1640180;165898;3314103;318627;163486;23224;226942;47237;147958;17285;168958;16148;1660830;242570;4568609;1143823;4383848;1081574;6122229;1382748;2832518;313825;5203241;1047336;5006532;976747;6611915;1410872;309460;76503;313760;87086;267274;68213;287442;71720;88805;15006;1184305;226088;1090185;206592;2460925;455685;281417;33797;288303;52741;285432;41594;262035;34554;519728;87132;140416;38753;529940;91612;2724011;413998;97587;15764;97587;15846;53697;8565;97587;15718;3994121;431027;5089621;1024040;4995501;971238;6366241;1382594;2955038;414295;2958646;432972;2953976;420264;3102516;578928;190769;26552;257849;54364;182297;23009;220457;20730;142109;15487;148941;16209;37277;5314;151965;16496
800;277941;37053;2187745;239677;2096133;206653;4310946;508866;193075;29496;263203;56483;171763;25021;195643;19184;1793279;265523;6021109;1523025;5704926;1423605;7996867;1806822;3359424;367836;6826542;1352775;6505838;1268674;8636504;1806115;358094;90127;366752;99901;312302;79800;335592;84843;107865;18375;1567885;292700;1393655;267074;3212515;599075;327109;40289;335150;58844;331465;47549;304581;39249;556525;95882;163174;47196;565655;96174;3553161;538639;109987;18764;109987;17710;60597;9748;109987;17423;5211081;546754;6671101;1337809;6496871;1260277;8315731;1773931;3857450;541506;3862022;558981;3855982;537072;4050466;782504;226856;30699;339200;68239;225368;33182;249344;23480;147409;16870;154241;16911;42577;5995;157265;17218
900;347772;46069;2782880;300712;2598800;252375;5438041;517007;225283;37416;306235;65223;198859;25006;223723;23577;4721525;671805;7629967;1981793;7139664;1821690;10121553;2326379;5918316;633041;8656474;1731758;8185470;1564293;10931137;2283161;412894;104811;416896;115839;357660;91176;385440;98882;146125;25861;2008755;377251;1726175;323932;4064145;758522;370995;43617;381731;69094;377804;53678;346894;49039;689926;118292;182026;55490;861968;142945;4492311;687749;122387;19804;122387;19660;67497;10808;122387;19665;6607241;707087;8469871;1688033;8187291;1564236;10525261;2248284;4879624;680007;4884962;699781;4877918;685414;5124794;999536;263291;39720;417251;81433;248531;34703;289355;26982;152709;16983;159541;17648;47877;6732;162565;17981
1000;395947;52259;3416571;371174;3269869;315601;6695239;686494;256315;42885;342955;74296;223147;28487;251563;24693;4903649;698828;9403505;2412794;8884747;2263905;12496311;2817607;6904230;751815;10690188;2180392;10141726;1950090;13495836;2838164;461540;115665;470510;132372;404282;102835;434080;112153;166465;28835;2479605;456325;2144625;404572;5015835;926545;416748;48808;429079;76779;424393;61803;389941;52490;837135;143723;201648;60615;940725;164080;5541461;851921;134787;21171;134787;21601;74397;11893;134787;21130;8145481;860887;10458621;2110105;10123641;1936747;12994851;2787082;6022110;838865;6027818;859514;6019982;835983;6325790;1242490;284609;46622;401441;87275;266849;38123;323465;30423;158009;17674;164841;18350;53177;7490;167865;18621
1100;448556;59955;4085077;429567;3966504;381982;8084012;765327;287179;49269;382435;84459;248971;32614;281659;28211;6923287;959150;11411401;2943943;10713685;2735769;15121057;3432048;8622598;923980;12929835;2602920;12237742;2380687;16330524;3410657;520868;129832;525750;148131;450762;114488;485768;132080;191805;33187;2976625;548945;2578365;478791;6067515;1115166;464909;54681;478307;87178;473665;71505;433647;62965;617801;110295;228342;71280;1147266;189245;6700611;1017958;147187;24355;147187;23567;81297;13844;147187;23511;9848721;1058964;12633541;2562754;12235281;2353904;15724431;3358617;7283856;1022720;7290106;1032555;7282002;1012029;7654808;1504450;347433;54896;469161;96803;325473;45516;376521;35706;163309;18554;170141;19983;58477;8232;173165;20362
1200;512675;73221;4853701;509276;4769631;462540;9603248;909255;317179;54292;419035;92467;274627;36874;312019;30182;9458175;1303910;13546531;3498562;12796557;3281361;17995779;4058557;11650534;1238364;15383799;3129692;14596443;2876866;19435190;4124600;577362;143513;578566;165483;499276;128486;535882;137031;224605;48240;3551105;781762;3081305;637900;7219175;1435893;514850;63856;528490;95692;523430;76897;478319;61767;1015037;176291;252323;78776;1338435;219304;7969761;1220746;159587;26393;159587;25477;88197;14049;159587;25451;11719421;1245542;15045921;3066639;14576121;2833725;18713991;4068183;8666064;1199032;8673216;1223403;8664024;1206225;9110364;1808972;374493;59525;530157;110663;355245;51701;415941;39347;168609;19240;175441;19957;63777;8944;178465;20131
1300;570189;76697;5723418;600360;5617884;541306;11252630;1067571;346819;59924;469699;103265;302395;41067;364075;35087;10672592;1573150;15953770;4251453;14962013;3873996;21120561;4821606;13427290;1429253;18094967;3851627;17097819;3425264;22809911;4759982;636176;158433;635262;181207;544676;139944;590184;156876;251165;44759;4202345;787952;3609385;707773;8470885;1595719;561815;65776;578612;104765;573277;86594;523546;66974;1306737;229570;272612;88048;1530514;252267;9348911;1424926;171987;27412;171987;27453;95097;14801;171987;27412;13743881;1464668;17695061;3628083;17102101;3394744;21963601;4708500;10168342;1406361;10176544;1433717;10165902;1409745;10693294;2143073;420153;68152;599865;126156;386073;56396;462513;43248;173909;19911;180909;20587;69077;9687;183765;20776
1400;636033;82350;6662041;688593;6594008;646527;13031640;1242859;377683;66186;514507;113151;329131;45823;380851;36710;12657373;1763804;18591668;4918840;17408046;4565242;24495187;5523773;15612395;1664977;21046373;4346270;19857997;4011960;26454489;5529262;698324;176670;690920;197826;591088;152396;642488;166190;285025;50334;4906945;918947;4228785;790927;9822465;1925724;611798;74941;629222;127385;623128;93045;568755;78428;1041805;185098;305330;96640;1742882;286883;10838061;1661547;184387;29337;184387;30295;101997;16194;184387;29352;15935641;1702067;20557561;4266081;19879401;3954160;25473081;5429114;11790036;1623592;11799686;1661614;11787854;1618841;12402724;2517038;444867;76236;586947;132341;407427;58183;495603;46417;179209;20664;186209;21273;74377;10393;189065;21591
1500;682700;88591;7680911;789770;7586237;730255;14940574;1431167;409651;71086;558931;123888;354427;49034;416299;40028;12904276;1804252;21327783;5644400;19962352;5260462;28119813;6421437;17534363;1924500;24203731;5072153;22800737;4663234;30369067;6409589;753604;189096;748492;213585;636766;164961;698018;236912;302505;54000;5673535;1082915;4887035;901324;11274045;2103039;661595;81546;679437;132239;672815;106224;614526;80701;1298035;227747;342829;109849;2000933;327982;12437211;1904988;196787;30719;196787;30745;108897;17013;196787;30689;18271021;1951088;23642051;4905861;22855551;4581468;29242561;6357836;13531994;1896448;13542470;1929876;13529854;1889981;14238250;2923105;476826;82821;684978;150338;434226;61859;528786;51686;184509;21314;191509;21975;79677;11064;194365;22353
1600;727149;94699;8729368;938388;8663942;857451;16979728;1592601;439627;76533;598843;133585;378283;52398;432163;41666;12941195;1808153;24349218;6454932;22786047;6172646;31994415;7216936;19454989;2059776;27550313;5800688;25978782;5374883;34553623;7239792;805616;202885;804534;229611;680546;177198;747574;206868;318765;57354;6461995;1205032;5610445;1039825;12825605;2500121;709923;84833;730251;138193;722177;110704;660291;87398;1416269;246814;360539;114483;2266910;369418;14146361;2215306;209187;34442;209187;32655;115797;18001;209187;33244;20765181;2188072;26908411;5625308;26056861;5295001;33272021;7090872;15394280;2116505;15405590;2173189;15391868;2149463;16199026;3324984;544362;84515;794994;162938;511842;84049;561018;52792;189809;22051;196809;22707;84977;11811;199665;22978
1700;788169;103173;9830838;994734;9622159;914652;19149161;1790499;470467;80942;641467;139576;403555;58147;480211;46888;15903768;2212264;27463032;7436968;25655193;6971699;36119125;8361681;21388870;2379648;31096737;6557716;29244502;6113623;39008278;8170598;868208;219975;860080;247234;727264;188748;804368;207196;347075;60682;7291245;1359918;6227315;1170780;14477255;2700948;757711;90705;780646;147010;771769;116628;705417;92887;2142537;417356;375828;134978;2417187;438574;15965511;2464107;221587;37514;221587;35292;122697;19399;221587;34524;23431391;2461317;30375561;6444840;29311631;6028359;37561571;8212899;17377010;2391326;17388436;2425200;17373872;2385039;18286472;3765365;552060;93629;783396;166722;509868;77516;599148;57006;195109;23736;202109;23439;90277;12497;204965;24622
1800;836706;116920;10983794;1108433;10754851;1023052;21448583;2001126;501361;89594;681793;151956;432121;60584;509041;50949;16146006;2233922;30663154;8299729;28729198;7809146;40493823;9088281;23312103;2450933;34745454;7417379;32766117;7001640;43732922;9132764;924250;232432;916042;263096;773540;245278;856276;220282;365705;63800;8160485;1508961;6973565;1314124;16228895;3033349;807098;96563;831243;155591;821937;122557;751295;98150;1782683;314455;414385;133196;2370079;410588;17894661;2742287;233987;36428;233987;36413;129597;20090;233987;36449;26247921;2734632;34042701;7217756;32855781;6770437;42111111;8945315;19479378;2687272;19491918;2722288;19475866;2665599;20501138;4252221;586197;93194;926325;189235;548229;85867;649437;61081;200409;24586;207409;24186;95577;13230;210265;25359
